Course Name,Class,Section,Days & Times,Room,Instructor,Instruction Mode,Meeting Dates,Status
PHIL 2101 - Introduction to Philosophy,28583,HD06-LEC Regular,TuTh 11:30AM - 12:45PMTuTh 11:30AM - 12:45PM,Online-SynchronousNamm N-420B,Laureen ParkLaureen Park,Hybrid Synchronous,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
PHIL 2101 - Introduction to Philosophy,30986,OL02-LEC Regular,TBA,Online-Asynchronous,Carlo Alvaro,Online Asynchronous,01/25/2024 - 05/22/2024,Open
PHIL 2101 - Introduction to Philosophy,30987,OL04-LEC Regular,TBA,Online-Asynchronous,Carlo Alvaro,Online Asynchronous,01/25/2024 - 05/22/2024,Open
PHIL 2101 - Introduction to Philosophy,28582,OL10-LEC Regular,Tu 6:00PM - 8:30PM,Online-Synchronous,Caemeron Crain,Online Synchronous,01/25/2024 - 05/22/2024,Open
PHIL 2101 - Introduction to Philosophy,30989,WN20-LEC Winter,TBA,Online-Asynchronous,Henry Piper,Online Asynchronous,01/02/2024 - 01/23/2024,Open
PHIL 2102 - Logical Thinking,30601,OL20-LEC Regular,TBA,Online-Asynchronous,Carlo Alvaro,Online Asynchronous,01/25/2024 - 05/22/2024,Open
PHIL 2106 - Philosophy of Technology,31106,DO24-LEC Regular,MoWe 2:30PM - 3:45PM,Namm N-419B,Keith Whitmoyer,In Person,01/25/2024 - 05/22/2024,Open
PHIL 2106 - Philosophy of Technology,31108,DO26-LEC Regular,MoWe 4:10PM - 5:25PM,Namm N-1008,Daniel Wagnon,In Person,01/25/2024 - 05/22/2024,Open
PHIL 2106 - Philosophy of Technology,28581,HD28-LEC Regular,Tu 2:30PM - 5:00PMTu 2:30PM - 5:00PM,Online-SynchronousNamm N-1022A,Laureen ParkLaureen Park,Hybrid Synchronous,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
PHIL 2202ID - Symbolic Logic,29729,HD30-LEC Regular,Th 2:30PM - 5:00PMTh 2:30PM - 5:00PM,Online-SynchronousNamm N-1022A,Laureen ParkLaureen Park,Hybrid Synchronous,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
PHIL 2203 - Health Care Ethics,30842,DO32-LEC Regular,MoWe 10:00AM - 11:15AM,Namm N-1022A,Henry Piper,In Person,01/25/2024 - 05/22/2024,Open
PHIL 2203 - Health Care Ethics,30840,DO34-LEC Regular,MoWe 11:30AM - 12:45PM,Namm N-518,Henry Piper,In Person,01/25/2024 - 05/22/2024,Open
PHIL 2203 - Health Care Ethics,30844,DO37-LEC Regular,Th 2:30PM - 5:00PM,Namm N-1106,Ken Yip,In Person,01/25/2024 - 05/22/2024,Open
PHIL 2203 - Health Care Ethics,30841,DO38-LEC Regular,MoWe 4:10PM - 5:25PM,Namm N-500,Keith Whitmoyer,In Person,01/25/2024 - 05/22/2024,Open
PHIL 2203 - Health Care Ethics,30839,EO82-LEC Regular,Mo 6:00PM - 8:30PM,Namm N-1020,Ken Yip,In Person,01/25/2024 - 05/22/2024,Open
PHIL 2203 - Health Care Ethics,30838,EO84-LEC Regular,Th 6:00PM - 8:30PM,Namm N-1005,Ken Yip,In Person,01/25/2024 - 05/22/2024,Open
PHIL 2203 - Health Care Ethics,28580,WNO3-LEC Winter,MoTuWeThFr 11:30AM - 2:00PM,Online-Synchronous,Keith Whitmoyer,Online Synchronous,01/02/2024 - 01/23/2024,Open
PHIL 2203ID - Health Care Ethics,29070,OL42-LEC Regular,MoWe 1:00PM - 2:15PM,Online-Synchronous,James Abordo Ong,Online Synchronous,01/25/2024 - 05/22/2024,Open
PHIL 2203ID - Health Care Ethics,29571,OL44-LEC Regular,MoWe 2:30PM - 3:45PM,Online-Synchronous,James Abordo Ong,Online Synchronous,01/25/2024 - 05/22/2024,Open
PHIL 3211 - Philosophy of Law,29069,DO38-LEC Regular,MoWe 11:30AM - 12:45PM,Voorhees V-326,Robert MacDougall,In Person,01/25/2024 - 05/22/2024,Open
PHIL 3211 - Philosophy of Law,29068,DO39-LEC Regular,MoWe 2:30PM - 3:45PM,Namm N-1003,Robert MacDougall,In Person,01/25/2024 - 05/22/2024,Open
