Course Name,Class,Section,Days & Times,Room,Instructor,Instruction Mode,Meeting Dates,Status
SPAN 10100 - Elementary Spanish I,9593,01-LEC Regular,TuWeFr 9:30AM - 10:20AM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 10100 - Elementary Spanish I,9592,02-LEC Regular,TuWeFr 8:30AM - 9:20AM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9589,03-LEC Regular,MoTh 10:00AM - 11:15AM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9594,04-LEC Regular,MoWeTh 12:30PM - 1:20PM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9587,05-LEC Regular,Su 9:10AM - 12:00PM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9591,06-LEC Regular,TuFr 1:00PM - 2:15PM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9590,07-LEC Regular,TuTh 4:00PM - 5:15PM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9586,08-LEC Regular,MoWe 7:00PM - 8:15PM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9588,09-LEC Regular,TuTh 8:30PM - 9:45PM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9603,10-LEC Regular,TuTh 5:30PM - 6:45PM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Closed
SPAN 10100 - Elementary Spanish I,9602,11-LEC Regular,MoWe 4:00PM - 5:15PM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9601,12-LEC Regular,MoWeTh 11:30AM - 12:20PM,TBA,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9600,13-LEC Regular,Su 1:10PM - 4:00PM,West Bldg W113,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9599,14-LEC Regular,Sa 9:10AM - 12:00PM,West Bldg W405,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9598,15-LEC Regular,TuTh 7:00PM - 8:15PM,West Bldg W207,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10100 - Elementary Spanish I,9597,16-LEC Regular,MoTh 1:00PM - 2:15PM,West Bldg W413,TBA,In Person,01/25/2024 - 05/22/2024,Closed
SPAN 10100 - Elementary Spanish I,9596,17-LEC Regular,MoWe 7:00PM - 8:15PM,West Bldg W413,TBA,In Person,01/25/2024 - 05/22/2024,Closed
SPAN 10200 - Elementary Spanish 2,9054,01-LEC Regular,MoTh 8:30AM - 9:45AM,West Bldg W707B,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10200 - Elementary Spanish 2,9053,02-LEC Regular,MoTh 10:00AM - 11:15AM,West Bldg W707B,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10200 - Elementary Spanish 2,9052,03-LEC Regular,MoTh 1:00PM - 2:15PM,West Bldg W707B,Jenny Castillo,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10200 - Elementary Spanish 2,9056,04-LEC Regular,TuWeFr 8:30AM - 9:20AM,West Bldg W707B,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10200 - Elementary Spanish 2,9057,05-LEC Regular,TuFr 11:30AM - 12:45PM,West Bldg W509C,Diana Conchado,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10200 - Elementary Spanish 2,9055,06-LEC Regular,TuFr 4:00PM - 5:15PM,West Bldg W509C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10200 - Elementary Spanish 2,9049,07-LEC Regular,Sa 9:10AM - 12:00PM,West Bldg W406,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10200 - Elementary Spanish 2,9050,08-LEC Regular,TuTh 7:00PM - 8:15PM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 10200 - Elementary Spanish 2,9051,09-LEC Regular,TuTh 8:30PM - 9:45PM,West Bldg W707B,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 10200 - Elementary Spanish 2,9064,10-LEC Regular,MoWe 8:30PM - 9:45PM,West Bldg W707B,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 10200 - Elementary Spanish 2,9063,11-LEC Regular,MoTh 2:30PM - 3:45PM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Wait
