Course Name,Class,Section,Days & Times,Room,Instructor,Instruction Mode,Meeting Dates,Status
CSCI 101 - Computer Literacy,39149,98-LEC Regular,TBA,Online-Asynchronous,Howard Mandelbaum,Online Asynchronous,01/25/2024 - 05/22/2024,Open
CSCI 101 - Computer Literacy,39148,99-LEC Regular,TBA,Online-Asynchronous,Howard Mandelbaum,Online Asynchronous,01/25/2024 - 05/22/2024,Open
CSCI 171 - Nature of Computers,40803,01-LEC Regular,TuTh 4:30PM - 5:45PM,New Bldg L2.79,Sonyl Nagale,In Person,01/25/2024 - 05/22/2024,Open
CSCI 171 - Nature of Computers,43337,599-LEC Winter,TBA,Online-Asynchronous,Vivek Sharma,Online Asynchronous,01/02/2024 - 01/23/2024,Open
CSCI 172 - Intro to Data Analysis,43339,01-LEC Regular,TuTh 3:05PM - 4:20PM,New Bldg 6.61,Fatma Najar,In Person,01/25/2024 - 05/22/2024,Open
CSCI 270 - Sec Computer Data,41011,01-LEC Regular,Tu 10:50AM - 1:30PM,TBA,Alexandros Alexandrou,In Person,01/25/2024 - 05/22/2024,Open
CSCI 270 - Sec Computer Data,43369,98-LEC Regular,TBA,Online-Asynchronous,Alexandros Alexandrou,Online Asynchronous,01/25/2024 - 05/22/2024,Closed
CSCI 270 - Sec Computer Data,41012,99-LEC Regular,TBA,Online-Asynchronous,Zenobia Petersen,Online Asynchronous,01/25/2024 - 05/22/2024,Open
CSCI 271 - Intro Comput & Prog,41006,01-LEC Regular,MoWe 8:00AM - 9:15AM,New Bldg 6.64.02,Thurai Kugan,In Person,01/25/2024 - 05/22/2024,Closed
CSCI 271 - Intro Comput & Prog,41007,02-LEC Regular,MoWe 9:25AM - 10:40AM,New Bldg 6.64.02,Thurai Kugan,In Person,01/25/2024 - 05/22/2024,Closed
CSCI 271 - Intro Comput & Prog,41008,03-LEC Regular,TuTh 9:25AM - 10:40AM,New Bldg 6.64.02,Shaobai Kan,In Person,01/25/2024 - 05/22/2024,Closed
CSCI 271 - Intro Comput & Prog,41009,04-LEC Regular,TuTh 8:00AM - 9:15AM,New Bldg 6.61,Temidayo Akinyemi,In Person,01/25/2024 - 05/22/2024,Closed
CSCI 272 - Object-Oriented Programming,41002,01-LEC Regular,TuTh 8:00AM - 9:15AM,New Bldg 6.64.02,Shaobai Kan,In Person,01/25/2024 - 05/22/2024,Open
CSCI 272 - Object-Oriented Programming,41005,02-LEC Regular,TuTh 10:50AM - 12:05PM,New Bldg 6.64.02,Maksi Kutrolli,In Person,01/25/2024 - 05/22/2024,Open
CSCI 272 - Object-Oriented Programming,41003,03-LEC Regular,TuTh 12:15PM - 1:30PM,New Bldg 6.64.02,Shaobai Kan,In Person,01/25/2024 - 05/22/2024,Open
CSCI 272 - Object-Oriented Programming,41500,04-LEC Regular,MoWe 12:15PM - 1:30PM,New Bldg 6.64.02,Srinivasa Dumpa,In Person,01/25/2024 - 05/22/2024,Open
CSCI 274 - Computer Architecture,40997,01-LEC Regular,TuTh 9:25AM - 10:40AM,New Bldg L2.79,Vivek Sharma,In Person,01/25/2024 - 05/22/2024,Open
CSCI 274 - Computer Architecture,40998,02-LEC Regular,TuTh 10:50AM - 12:05PM,New Bldg L2.79,Vivek Sharma,In Person,01/25/2024 - 05/22/2024,Closed
CSCI 274 - Computer Architecture,40999,03-LEC Regular,TuTh 3:05PM - 4:20PM,New Bldg L2.79,Vivek Sharma,In Person,01/25/2024 - 05/22/2024,Open
CSCI 275 - Linux System Admin & Security,40762,01-LEC Regular,Th 5:55PM - 8:35PM,New Bldg L2.79,Richard Sullivan,In Person,01/25/2024 - 05/22/2024,Closed
CSCI 275 - Linux System Admin & Security,39216,02-LEC Regular,Mo 5:55PM - 8:35PM,New Bldg L2.79,Richard Sullivan,In Person,01/25/2024 - 05/22/2024,Closed
