Course Name,Class,Section,Days & Times,Room,Instructor,Instruction Mode,Meeting Dates,Status
LAW 202 - Law and Evidence,40034,01-LEC Regular,MoWe 9:25AM - 10:40AM,TBA,Brian Maule,In Person,01/25/2024 - 05/22/2024,Open
LAW 202 - Law and Evidence,40033,02-LEC Regular,MoWe 10:50AM - 12:05PM,TBA,Yue Ma,In Person,01/25/2024 - 05/22/2024,Open
LAW 202 - Law and Evidence,40032,03-LEC Regular,MoWe 4:30PM - 5:45PM,TBA,Fred Collins,In Person,01/25/2024 - 05/22/2024,Open
LAW 202 - Law and Evidence,40035,05-LEC Regular,TuTh 5:55PM - 7:10PM,TBA,Mark Panzavecchia,In Person,01/25/2024 - 05/22/2024,Open
LAW 202 - Law and Evidence,40036,06-LEC Regular,TuTh 7:20PM - 8:35PM,TBA,Michael Croce,In Person,01/25/2024 - 05/22/2024,Open
LAW 202 - Law and Evidence,40038,301-LEC Regular,Sa 9:25AM - 12:05PM,TBA,Joseph Darr,In Person,01/25/2024 - 05/22/2024,Open
LAW 202 - Law and Evidence,38987,98-LEC Regular,TBA,Online-Asynchronous,TBA,Online Asynchronous,01/25/2024 - 05/22/2024,Closed
LAW 202 - Law and Evidence,38986,99-LEC Regular,TBA,Online-Asynchronous,Moses Cowan,Online Asynchronous,01/25/2024 - 05/22/2024,Closed
LAW 202 - Law and Evidence,40037,599-LEC Winter,TBA,Online-Asynchronous,Isabel Schneider,Online Asynchronous,01/02/2024 - 01/23/2024,Closed
LAW 203 - Constitutional Law,40160,01-LEC Regular,MoWe 12:15PM - 1:30PM,TBA,Yue Ma,In Person,01/25/2024 - 05/22/2024,Open
LAW 203 - Constitutional Law,40158,02-LEC Regular,MoWe 3:05PM - 4:20PM,TBA,Fred Collins,In Person,01/25/2024 - 05/22/2024,Open
LAW 203 - Constitutional Law,41623,03-LEC Regular,MoWe 4:30PM - 5:45PM,TBA,Gloria Browne-Marshall,In Person,01/25/2024 - 05/22/2024,Open
LAW 203 - Constitutional Law,40162,04-LEC Regular,MoWe 5:55PM - 7:10PM,TBA,Gloria Browne-Marshall,In Person,01/25/2024 - 05/22/2024,Open
LAW 203 - Constitutional Law,40159,06-LEC Regular,TuTh 8:00AM - 9:15AM,TBA,Charles Barbuti,In Person,01/25/2024 - 05/22/2024,Open
LAW 203 - Constitutional Law,40157,07-LEC Regular,TuTh 9:25AM - 10:40AM,TBA,James Durkin,In Person,01/25/2024 - 05/22/2024,Open
LAW 203 - Constitutional Law,40163,08-LEC Regular,TuTh 3:05PM - 4:20PM,TBA,Diane Peress Goldstein,In Person,01/25/2024 - 05/22/2024,Open
LAW 203 - Constitutional Law,40161,09-LEC Regular,TuTh 4:30PM - 5:45PM,TBA,Charles Tortorici,In Person,01/25/2024 - 05/22/2024,Open
LAW 203 - Constitutional Law,40171,10-LEC Regular,TuTh 5:55PM - 7:10PM,TBA,Charles Tortorici,In Person,01/25/2024 - 05/22/2024,Open
LAW 203 - Constitutional Law,40167,11-LEC Regular,TuTh 7:20PM - 8:35PM,TBA,Mark Panzavecchia,In Person,01/25/2024 - 05/22/2024,Open
