Course Name,Class,Section,Days & Times,Room,Instructor,Instruction Mode,Meeting Dates,Status
PHYS 113 - Physics Laboratory I,13291,R21-LAB Regular,Th 8:00AM - 9:50AM,Acad Core 2E04,TBA,In Person,01/25/2024 - 05/22/2024,Open
PHYS 113 - Physics Laboratory I,13292,R2LA-LAB Regular,Th 5:00PM - 6:50PM,Acad Core 2E04,Zachary Richards,In Person,01/25/2024 - 05/22/2024,Open
PHYS 113 - Physics Laboratory I,13290,S2L8-LAB Regular,Sa 3:00PM - 4:50PM,Acad Core 2E04,Kanhiya Shukla,In Person,01/25/2024 - 05/22/2024,Open
PHYS 113 - Physics Laboratory I,13289,T2L1-LAB Regular,Tu 8:00AM - 9:50AM,Acad Core 2E04,TBA,In Person,01/25/2024 - 05/22/2024,Open
PHYS 114 - Physics Laboratory II,13288,F23-LAB Regular,Fr 12:00PM - 1:50PM,Acad Core 2E01,Tricia Kutwaru,In Person,01/25/2024 - 05/22/2024,Open
PHYS 114 - Physics Laboratory II,13287,R21-LAB Regular,Th 8:00AM - 9:50AM,Acad Core 2E01,Tricia Kutwaru,In Person,01/25/2024 - 05/22/2024,Open
PHYS 114 - Physics Laboratory II,13286,R25-LAB Regular,Th 4:00PM - 5:50PM,Acad Core 2E01,Tricia Kutwaru,In Person,01/25/2024 - 05/22/2024,Open
PHYS 114 - Physics Laboratory II,13285,T21-LAB Regular,Tu 8:00AM - 9:50AM,Acad Core 2E01,Tricia Kutwaru,In Person,01/25/2024 - 05/22/2024,Open
PHYS 115 - College Physics I,13284,O-LEC Regular,TuTh 10:45AM - 12:00PM,Acad Core 2M04,Zachary Richards,In Person,01/25/2024 - 05/22/2024,Open
PHYS 115 - College Physics I,13283,R2L7-REC Regular,Th 2:00PM - 3:50PM,Acad Core 2E04,TBA,In Person,01/25/2024 - 05/22/2024,Open
PHYS 115 - College Physics I,13280,S22-REC Regular,Sa 12:00PM - 1:50PM,Acad Core 2E04,Kanhiya Shukla,In Person,01/25/2024 - 05/22/2024,Open
PHYS 115 - College Physics I,13281,S3-LEC Regular,Sa 9:00AM - 11:50AM,Acad Core 2E04,Kanhiya Shukla,In Person,01/25/2024 - 05/22/2024,Open
PHYS 115 - College Physics I,13282,T2L7-REC Regular,Tu 2:00PM - 3:50PM,Acad Core 2F08,TBA,In Person,01/25/2024 - 05/22/2024,Open
PHYS 116 - College Physics II,13279,P-LEC Regular,TuTh 2:00PM - 3:15PM,Acad Core 2M04,Zachary Richards,In Person,01/25/2024 - 05/22/2024,Open
PHYS 116 - College Physics II,13278,T2L3-REC Regular,Tu 10:00AM - 11:50AM,Acad Core 2E01,TBA,In Person,01/25/2024 - 05/22/2024,Open
PHYS 116 - College Physics II,13606,T2L9-REC Regular,Tu 4:00PM - 5:50PM,Acad Core 2F06,TBA,In Person,01/25/2024 - 05/22/2024,Open
PHYS 117 - University Physics I,13277,Q-LEC Regular,TuTh 3:30PM - 4:45PM,Acad Core 2M04,TBA,In Person,01/25/2024 - 05/22/2024,Open
PHYS 117 - University Physics I,13276,T2L3-REC Regular,Tu 10:00AM - 11:50AM,Acad Core 2F06,TBA,In Person,01/25/2024 - 05/22/2024,Open
PHYS 117 - University Physics I,13275,T2L9-REC Regular,Tu 5:00PM - 6:50PM,Acad Core 2E04,TBA,In Person,01/25/2024 - 05/22/2024,Open
PHYS 118 - University Physics II,13274,P-LEC Regular,TuTh 2:00PM - 3:15PM,Acad Core 3H11A,James Popp,In Person,01/25/2024 - 05/22/2024,Open
PHYS 118 - University Physics II,13273,R2LA-REC Regular,Th 5:00PM - 6:50PM,Acad Core 2F08,James Popp,In Person,01/25/2024 - 05/22/2024,Open
PHYS 118 - University Physics II,13272,T2L9-REC Regular,Tu 4:00PM - 5:50PM,Acad Core 2E01,James Popp,In Person,01/25/2024 - 05/22/2024,Open
PHYS 140 - The Physical Universe,13271,BC-LEC Regular,MoWe 10:00AM - 11:50AM,Acad Core 2E04,TBA,In Person,01/25/2024 - 05/22/2024,Open
PHYS 140 - The Physical Universe,13270,CD-LEC Regular,MoWe 12:00PM - 1:50PM,Acad Core 2E04,TBA,In Person,01/25/2024 - 05/22/2024,Open
PHYS 231 - Oscillations and Waves,16625,KL-LEC Regular,WeFr 4:00PM - 5:50PM,Acad Core 2F08,James Popp,In Person,01/25/2024 - 05/22/2024,Open
PHYS 241 - Modern Physics,18777,DE-LEC Regular,MoWe 2:00PM - 3:50PM,Acad Core 2F08,Andrew Edmonds,In Person,01/25/2024 - 05/22/2024,Open
